n,w,v,t,nwv,(nwv)^2,log(nwv),n^2wv,n^2w^2v,sqrt(nwv)
10,100,100,0.143754482,100000,10000000000,16.60964047,1000000,100000000,316.227766
10,100,300,0.245911121,300000,90000000000,18.19460298,3000000,300000000,547.7225575
10,100,1500,1.347334862,1500000,2.25E+12,20.51653107,15000000,1500000000,1224.744871
10,300,100,0.264183283,300000,90000000000,18.19460298,3000000,900000000,547.7225575
10,300,400,1.282109022,1200000,1.44E+12,20.19460298,12000000,3600000000,1095.445115
10,300,1200,4.130438805,3600000,1.296E+13,21.77956548,36000000,10800000000,1897.366596
10,900,100,0.850538969,900000,8.1E+11,19.77956548,9000000,8100000000,948.6832981
10,900,500,5.05435276,4500000,2.025E+13,22.10149357,45000000,40500000000,2121.320344
10,900,1500,15.68948317,13500000,1.8225E+14,23.68645607,135000000,1.215E+11,3674.234614
50,100,100,0.443703175,500000,2.5E+11,18.93156857,25000000,2500000000,707.1067812
50,100,500,2.091128588,2500000,6.25E+12,21.25349666,125000000,12500000000,1581.13883
50,400,100,1.667567492,2000000,4E+12,20.93156857,100000000,40000000000,1414.213562
50,400,400,9.007669449,8000000,6.4E+13,22.93156857,400000000,1.6E+11,2828.427125
50,400,2000,44.46161127,40000000,1.6E+15,25.25349666,2000000000,8E+11,6324.55532
50,1600,100,7.129693985,8000000,6.4E+13,22.93156857,400000000,6.4E+11,2828.427125
50,1600,300,26.22777128,24000000,5.76E+14,24.51653107,1200000000,1.92E+12,4898.979486
50,1600,900,84.9555881,72000000,5.184E+15,26.10149357,3600000000,5.76E+12,8485.281374
250,100,100,2.303649426,2500000,6.25E+12,21.25349666,625000000,62500000000,1581.13883
250,100,500,11.08830047,12500000,1.5625E+14,23.57542476,3125000000,3.125E+11,3535.533906
250,100,1500,32.94125795,37500000,1.40625E+15,25.16038726,9375000000,9.375E+11,6123.724357
250,400,100,8.882291317,10000000,1E+14,23.25349666,2500000000,1E+12,3162.27766
250,400,300,32.11922216,30000000,9E+14,24.83845916,7500000000,3E+12,5477.225575
250,400,1200,133.167275,120000000,1.44E+16,26.83845916,30000000000,1.2E+13,10954.45115
250,2000,100,46.67831349,50000000,2.5E+15,25.57542476,12500000000,2.5E+13,7071.067812
250,2000,300,176.9223497,150000000,2.25E+16,27.16038726,37500000000,7.5E+13,12247.44871
250,2000,900,535.3620715,450000000,2.025E+17,28.74534976,1.125E+11,2.25E+14,21213.20344
750,100,100,6.196516991,7500000,5.625E+13,22.83845916,5625000000,5.625E+11,2738.612788
750,100,400,26.97438526,30000000,9E+14,24.83845916,22500000000,2.25E+12,5477.225575
750,100,1600,111.8015058,120000000,1.44E+16,26.83845916,90000000000,9E+12,10954.45115
750,300,100,20.54063392,22500000,5.0625E+14,24.42342167,16875000000,5.0625E+12,4743.41649
750,300,300,74.53803587,67500000,4.55625E+15,26.00838417,50625000000,1.51875E+13,8215.838363
750,300,1200,310.9575095,270000000,7.29E+16,28.00838417,2.025E+11,6.075E+13,16431.67673
750,1200,100,88.0792954,90000000,8.1E+15,26.42342167,67500000000,8.1E+13,9486.832981
750,1200,400,492.0443807,360000000,1.296E+17,28.42342167,2.7E+11,3.24E+14,18973.66596
